SubscriptionId,VMName,ComputerName,Location,VMSize,OS,Publisher,Offer,SKUs,Version,VMUsername,VMPassword,VMRG,DiagStorageAccountName,VirtualNetworkName,VNetRG,SubnetName,OSDiskSKU,OSDiskSizeInGB,DataDiskSKU,DataDiskSizeInGB,VMAvailabilitySetName
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM01,VDIVM01,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM02,VDIVM02,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM03,VDIVM03,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM04,VDIVM04,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM05,VDIVM05,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM06,VDIVM06,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM07,VDIVM07,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM08,VDIVM08,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM09,VDIVM09,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM10,VDIVM10,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM11,VDIVM11,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM12,VDIVM12,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM13,VDIVM13,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM14,VDIVM14,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM15,VDIVM15,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM16,VDIVM16,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM17,VDIVM17,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM18,VDIVM18,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM19,VDIVM19,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM20,VDIVM20,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
123e394d-79c1-4174-8cbf-cae4468ffxyz,VDIVM21,VDIVM21,chinaeast2,Standard_D2s_V3,Windows,MicrosoftWindowsServer,windowsserver,2012-R2-Datacenter,latest,azureadmin,Xixihaha#123456,vm-rg,leistoragediag1001,VM-VNet,VM-RG,subnet-1,Premium_LRS,127,Premium_LRS,100,VDI_avbset
